-5232.32481258  4130.52362031 -1271.82147042	-3.86751677 -3.11440164  5.83931494
-5236.18895611  4127.40660427 -1265.98138088	-3.8608337  -3.11967348  5.84093972
-5240.04641413  4124.28431839 -1260.13967032	-3.85414565 -3.12494137  5.84255703
-5243.89718169  4121.15676662 -1254.29634619	-3.84745265 -3.13020531  5.84416687
-5247.74140834  4118.02382677 -1248.45118079	-3.84075442 -3.13546548  5.8457693 
-5251.57877983  4114.88575491 -1242.60465191	-3.83405152 -3.14072148  5.84736418
-5255.40944602  4111.74242906 -1236.75653189	-3.82734369 -3.14597349  5.84895159
-5259.23340196  4108.59385322 -1230.90682822	-3.82063093 -3.15122152  5.85053152
-5263.05064274  4105.44003138 -1225.05554838	-3.81391325 -3.15646555  5.85210397
-5266.86116345  4102.28096752 -1219.20269985	-3.80719066 -3.16170559  5.85366894
-5270.66495918  4099.11666566 -1213.34829011	-3.80046318 -3.16694161  5.85522641
-5274.46202503  4095.9471298  -1207.49232666	-3.7937308  -3.17217363  5.8567764 
-5278.25250848  4092.77223612 -1201.63458129	-3.78699326 -3.17740183  5.85831896
-5282.03609966  4089.5922441  -1195.77553282	-3.78025113 -3.1826258   5.85985396
-5285.81294633  4086.40703017 -1189.91495311	-3.77350413 -3.18784574  5.86138147
-5289.58304362  4083.21659834 -1184.05284965	-3.76675227 -3.19306163  5.86290148
-5293.34638669  4080.02095266 -1178.18922995	-3.75999556 -3.19827348  5.864414  
-5297.10297068  4076.82009719 -1172.3241015 	-3.75323401 -3.20348127  5.86591901
-5300.85279077  4073.61403598 -1166.45747181	-3.74646763 -3.208685    5.86741652
-5304.59599259  4070.40264379 -1160.58911225	-3.73969615 -3.21388488  5.86890658
-5308.33227012  4067.18618309 -1154.71950253	-3.73292014 -3.21908047  5.87038908
-5312.06176929  4063.96452886 -1148.84841408	-3.72613931 -3.22427198  5.87186406
-5315.78448529  4060.73768519 -1142.97585441	-3.71935369 -3.2294594   5.87333154
-5319.50041334  4057.50565617 -1137.10183104	-3.71256329 -3.23464273  5.8747915 
-5323.20954865  4054.26844589 -1131.22635148	-3.7057681  -3.23982196  5.87624395
-5326.91188644  4051.02605846 -1125.34942325	-3.69896814 -3.24499708  5.87768888
-5330.6075705   4047.77836723 -1119.47081732	-3.69216314 -3.25016829  5.87912635
-5334.2962987   4044.52563763 -1113.59101424	-3.68535367 -3.25533517  5.88055624
-5337.97821511  4041.26774323 -1107.70978505	-3.67853945 -3.26049793  5.88197861
-5341.65331499  4038.00468816 -1101.82713726	-3.67172049 -3.26565655  5.88339345
-5345.32159361  4034.73647657 -1095.94307841	-3.66489681 -3.27081104  5.88480077
-5348.98304624  4031.46311259 -1090.05761602	-3.65806841 -3.27596137  5.88620056
-5352.63766817  4028.18460037 -1084.17075762	-3.6512353  -3.28110755  5.88759281
-5356.2854547   4024.90094408 -1078.28251075	-3.64439748 -3.28624957  5.88897754
-5359.92654748  4021.61201545 -1072.39264595	-3.6375547  -3.29138763  5.89035479
-5363.56064884  4018.31808329 -1066.50164467	-3.63070751 -3.29652131  5.89172444
-5367.18790073  4015.01901957 -1060.60927752	-3.62385564 -3.3016508   5.89308656
-5370.80829848  4011.71482847 -1054.71555204	-3.61699911 -3.30677611  5.89444113
-5374.42183742  4008.40551418 -1048.82047577	-3.61013792 -3.31189723  5.89578817
-5378.02851291  4005.09108089 -1042.92405625	-3.60327208 -3.31701414  5.89712766
-5381.6283203   4001.77153282 -1037.02630102	-3.5964016  -3.32212685  5.89845961
-5385.22139937  3998.4467403  -1031.12698027	-3.58952622 -3.32723555  5.89978406
-5388.80745639  3995.11697508 -1025.22657622	-3.58264648 -3.33233982  5.90110091
-5392.38663142  3991.78210773 -1019.32485911	-3.57576214 -3.33743986  5.90241021
-5395.95891986  3988.44214247 -1013.42183648	-3.56887319 -3.34253568  5.90371196
-5399.52431711  3985.09708354 -1007.5175159 	-3.56197964 -3.34762725  5.90500616
-5403.08281857  3981.74693518 -1001.61190492	-3.5550815  -3.35271457  5.90629279
-5406.63441967  3978.39170165  -995.7050111 	-3.54817879 -3.35779764  5.90757187
-5410.17911582  3975.0313872   -989.79684198	-3.5412715  -3.36287645  5.9088434 
-5413.71704467  3971.66586059  -983.88716736	-3.53435938 -3.3679512   5.91010741
-5417.24791698  3968.29539689  -977.9764703 	-3.52744298 -3.37302147  5.9113638 
-5420.77187068  3964.91986508  -972.06452065	-3.52052204 -3.37808746  5.91261264
-5424.28890123  3961.53926945  -966.15132595	-3.51359657 -3.38314917  5.9138539 
-5427.79900409  3958.15361428  -960.23689379	-3.50666657 -3.38820658  5.9150876 
-5431.30217476  3954.76290387  -954.32123172	-3.49973205 -3.39325969  5.91631373
-5434.79840871  3951.36714252  -948.40434733	-3.49279302 -3.3983085   5.91753229
-5438.28784169  3947.96619762  -942.48601005	-3.48584922 -3.40335319  5.91874333
-5441.77018844  3944.56034712  -936.56670366	-3.4789012  -3.40839337  5.91994674
-5445.24558498  3941.14945864  -930.64619766	-3.47194871 -3.41342922  5.92114257
-5448.71402685  3937.73353649  -924.72449963	-3.46499174 -3.41846073  5.92233083
-5452.17550958  3934.31258502  -918.80161715	-3.4580303  -3.42348791  5.92351151
-5455.63002871  3930.88660856  -912.87755779	-3.45106442 -3.42851074  5.9246846 
-5459.07757978  3927.45561147  -906.95232914	-3.44409408 -3.43352923  5.92585012
-5462.51815837  3924.01959809  -901.02593878	-3.43711931 -3.43854335  5.92700805
-5465.95189803  3920.57843425  -895.09815579	-3.43013983 -3.44355331  5.92815844
-5469.37851805  3917.13240119  -889.16946472	-3.42315622 -3.4485587   5.9293012 
-5472.79815231  3913.68136496  -883.2396347 	-3.41616819 -3.45355971  5.93043637
-5476.2107964   3910.22532993  -877.30867332	-3.40917576 -3.45855633  5.93156394
-5479.61644592  3906.76430049  -871.37658817	-3.40217894 -3.46354857  5.93268393
-5483.01509649  3903.29828104  -865.44338684	-3.39517773 -3.46853641  5.93379632
-5486.40674373  3899.82727596  -859.50907693	-3.38817215 -3.47351984  5.93490112
-5489.7915193   3896.35114973  -853.57342721	-3.38116193 -3.47849907  5.93599837
-5493.16914648  3892.87018644  -847.63692287	-3.37414763 -3.48347368  5.93708797
-5496.53975725  3889.38425078  -841.69933275	-3.36712898 -3.48844387  5.93816997
-5499.90334726  3885.89334717  -835.76066444	-3.36010599 -3.49340962  5.93924438
-5503.25991218  3882.39748003  -829.82092553	-3.35307867 -3.49837095  5.94031118
-5506.60944768  3878.89665382  -823.88012364	-3.34604704 -3.50332783  5.94137038
-5509.95194944  3875.39087297  -817.93826636	-3.33901109 -3.50828026  5.94242197
-5513.28754721  3871.88000059  -811.99512219	-3.33197055 -3.51322843  5.94346599
-5516.61596831  3868.36432362  -806.05117693	-3.32492601 -3.51817195  5.94450237
-5519.93734278  3864.8437054   -800.1061991 	-3.31787718 -3.523111    5.94553114
-5523.25166634  3861.31815039  -794.16019633	-3.31082407 -3.52804557  5.94655229
-5526.55893472  3857.78766306  -788.21317622	-3.3037667  -3.53297566  5.94756584
-5529.85914365  3854.2522479   -782.26514638	-3.29670507 -3.53790127  5.94857177
-5533.15228889  3850.71190939  -776.31611443	-3.28963919 -3.54282238  5.94957008
-5536.43836619  3847.16665205  -770.36608799	-3.28256908 -3.547739    5.95056078
-5539.7175031   3843.61633743  -764.41483521	-3.27549444 -3.5526513   5.9515439 
-5542.98943154  3840.06125571  -758.46284259	-3.26841587 -3.5575589   5.95251937
-5546.25427937  3836.50126867  -752.50987833	-3.26133309 -3.56246198  5.95348721
-5549.51204236  3832.93638084  -746.55595005	-3.2542461  -3.56736053  5.95444743
-5552.76271634  3829.36659674  -740.60106537	-3.24715493 -3.57225455  5.95540002
-5556.00629709  3825.79192091  -734.64523191	-3.24005956 -3.57714403  5.95634499
-5559.24278046  3822.21235788  -728.68845731	-3.23296002 -3.58202897  5.95728234
-5562.47229204  3818.6277679   -722.73050947	-3.22585603 -3.58690956  5.9582121 
-5565.69456782  3815.03844394  -716.77187542	-3.21874816 -3.59178539  5.95913419
-5568.90973373  3811.44424645  -710.8123231 	-3.21163614 -3.59665666  5.96004865
-5572.1177856   3807.84517999  -704.85186015	-3.20451999 -3.60152336  5.96095548
-5575.31871931  3804.24124914  -698.89049419	-3.1973997  -3.60638549  5.96185468
-5578.51253074  3800.63245847  -692.92823286	-3.1902753  -3.61124303  5.96274624
-5581.69921576  3797.01881257  -686.96508379	-3.18314678 -3.61609598  5.96363017
-5584.87877026  3793.40031603  -681.00105462	-3.17601415 -3.62094435  5.96450647
-5588.05131765  3789.77682757  -675.03591298	-3.16887715 -3.6257883   5.96537516
-5591.21659856  3786.14864336  -669.07014649	-3.16173635 -3.63062745  5.96623618
-5594.37473668  3782.51562232  -663.1035228 	-3.15459147 -3.63546199  5.96708956
-5597.52572795  3778.87776906  -657.13604957	-3.14744253 -3.64029191  5.9679353 
-5600.66956831  3775.23508822  -651.16773442	-3.14028952 -3.64511721  5.9687734 
-5603.8062537   3771.58758442  -645.19858501	-3.13313247 -3.64993787  5.96960385
-5606.93578007  3767.93526229  -639.22860898	-3.12597138 -3.65475389  5.97042666
-5610.05826888  3764.27797924  -633.25757372	-3.11880597 -3.65956547  5.97124186
-5613.17346484  3760.6160342   -627.28596735	-3.11163683 -3.6643722   5.97204938
-5616.28148972  3756.94928477  -621.31355729	-3.10446368 -3.66917427  5.97284925
-5619.3823395   3753.27773563  -615.34035118	-3.09728652 -3.67397168  5.97364147
-5622.47601018  3749.60139142  -609.3663567 	-3.09010537 -3.67876442  5.97442605
-5625.56249779  3745.92025683  -603.39158147	-3.08292024 -3.68355248  5.97520297
-5628.64179832  3742.23433654  -597.41603315	-3.07573113 -3.68833586  5.97597224
-5631.71403128  3738.54348663  -591.43947894	-3.06853776 -3.69311475  5.97673389
-5634.7789455   3734.8480088   -585.46240737	-3.06134073 -3.69788875  5.97748785
-5637.83666078  3731.14775932  -579.48458568	-3.05413975 -3.70265805  5.97823416
-5640.88717316  3727.44274292  -573.50602152	-3.04693484 -3.70742264  5.97897282
-5643.93047872  3723.7329643   -567.52672254	-3.03972599 -3.71218252  5.97970381
-5646.96657353  3720.01842818  -561.5466964 	-3.03251322 -3.71693769  5.98042715
-5649.99545367  3716.29913927  -555.56595077	-3.02529655 -3.72168812  5.98114283
-5653.01711525  3712.57510231  -549.58449329	-3.01807597 -3.72643383  5.98185085
-5656.0316755   3708.84617192  -543.60209094	-3.01085121 -3.73117499  5.98255123
-5659.03888796  3705.11265286  -537.61923273	-3.00362285 -3.73591121  5.98324393
-5662.0388702   3701.37439998  -531.63568567	-2.99639063 -3.74064269  5.98392896
-5665.03161833  3697.63141802  -525.65145742	-2.98915453 -3.74536941  5.98460633
-5668.0171285   3693.88371173  -519.66655564	-2.98191459 -3.75009136  5.98527603
-5670.99539686  3690.13128589  -513.680988  	-2.9746708  -3.75480855  5.98593807
-5673.96641957  3686.37414526  -507.69476216	-2.96742317 -3.75952097  5.98659244
-5676.93031189  3682.61214317  -501.70764491	-2.96017142 -3.76422879  5.98723917
-5679.88683152  3678.84558712  -495.72012565	-2.95291615 -3.76893164  5.98787821
-5682.83609402  3675.07433063  -489.73197121	-2.94565706 -3.7736297   5.98850957
-5685.7780956   3671.29837849  -483.74318924	-2.93839418 -3.77832296  5.98913327
-5688.71283247  3667.51773552  -477.75378742	-2.93112751 -3.78301141  5.98974929
-5691.64030082  3663.73240652  -471.76377342	-2.92385706 -3.78769506  5.99035764
-5694.5604969   3659.9423963   -465.77315491	-2.91658283 -3.79237388  5.99095832
-5697.47341693  3656.14770967  -459.78193957	-2.90930485 -3.79704789  5.99155133
-5700.37917391  3652.34819852  -453.78989399	-2.90202281 -3.80171725  5.99213668
-5703.27753029  3648.5441734   -447.79750798	-2.89473733 -3.80638159  5.99271434
-5706.16859937  3644.73548637  -441.80454816	-2.88744811 -3.81104109  5.99328431
-5709.05237744  3640.92214228  -435.81102221	-2.88015517 -3.81569574  5.99384661
-5711.92886076  3637.10414599  -429.8169378 	-2.87285851 -3.82034554  5.99440124
-5714.79804563  3633.28150234  -423.82230262	-2.86555815 -3.82499048  5.99494818
-5717.65992834  3629.45421619  -417.82712435	-2.85825409 -3.82963056  5.99548745
